route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,SEPTA,1,Parx Casino to 54th-City,,3,,FFFFFF,000000
10,SEPTA,10,Route 10,,0,,5A960A,000000
101,SEPTA,101,Route 101,,0,,DC2E6B,000000
102,SEPTA,102,Route 102,,0,,DC2E6B,000000
103,SEPTA,103,Ardmore to 69th St TC,,3,,FFFFFF,000000
104,SEPTA,104,West Chester U to 69th St TC,,3,,FFFFFF,000000
105,SEPTA,105,Rosemont to 69th St TC,,3,,FFFFFF,000000
106,SEPTA,106,Paoli to 69th St TC,,3,,FFFFFF,000000
107,SEPTA,107,Lawrence Park to 69th St TC,,3,,FFFFFF,000000
108,SEPTA,108,UPS or Airport to 69th St TC,,3,,000000,FFFFFF
109,SEPTA,109,Chester TC to 69th St TC,,3,,FFFFFF,000000
11,SEPTA,11,Route 11,,0,,5A960A,000000
110,SEPTA,110,Penn State U to 69th St TC,,3,,FFFFFF,000000
111,SEPTA,111,Chadds Ford to 69th St TC,,3,,FFFFFF,000000
112,SEPTA,112,DCCC to 69th St TC,,3,,FFFFFF,000000
113,SEPTA,113,CLAYMONT TC to 69th St TC,,3,,000000,FFFFFF
114,SEPTA,114,Wawa Railroad Station to Darby TC,,3,,FFFFFF,000000
115,SEPTA,115,DCCC & Darby TC to Airport,,3,,FFFFFF,000000
117,SEPTA,117,Penn State U to I-95 Industrial Pk,,3,,FFFFFF,000000
118,SEPTA,118,Newtown Square to Chester TC,,3,,FFFFFF,000000
119,SEPTA,119,Cheyney U to Chester TC,,3,,FFFFFF,000000
12,SEPTA,12,Columbus-Dock to 50th-Woodland,,3,,FFFFFF,000000
120,SEPTA,120,Cheyney U to 69th St TC,,3,,FFFFFF,000000
123,SEPTA,123,King of Prussia to 69th St TC,,3,,FFFFFF,000000
124,SEPTA,124,Chesterbrook to 13th & Market,,3,,FFFFFF,000000
125,SEPTA,125,Valley Forge to 13th-Market,,3,,FFFFFF,000000
126,SEPTA,126,Lawrence Park via Manoa to 69th,,3,,FFFFFF,000000
127,SEPTA,127,Trenton TC to Oxford Valley Mall,,3,,FFFFFF,000000
128,SEPTA,128,Neshaminy to Oxford Valley Mall,,3,,FFFFFF,000000
129,SEPTA,129,Frankford-Knights to Oxford Valley,,3,,FFFFFF,000000
13,SEPTA,13,Route 13,,0,,5A960A,000000
130,SEPTA,130,BCCC to Frankford & Knights,,3,,FFFFFF,000000
131,SEPTA,131,Audubon to Norristown TC,,3,,FFFFFF,000000
132,SEPTA,132,Telford to Montgomery Mall,,3,,FFFFFF,000000
133,SEPTA,133,Frankford & Knights to Bensalem,,3,,FFFFFF,000000
135,SEPTA,135,West Chester to Coatesville,,3,,FFFFFF,000000
139,SEPTA,139,Limerick to King of Prussia,,3,,FFFFFF,000000
14,SEPTA,14,FTC to Nesh/Oxford Valley Malls,,3,,FFFFFF,000000
15,SEPTA,15,Route 15,,0,,FFD700,000000
150,SEPTA,150,Parx Casino to Plymouth Meeting,,3,,FFFFFF,000000
16,SEPTA,16,City Hall to Cheltenham-Ogontz,,3,,FFFFFF,000000
17,SEPTA,17,Front-Mkt to 20-Johnston/Broad-Pat,,3,,000000,FFFFFF
18,SEPTA,18,Fox Chase to Cedarbrook Plaza,,3,,000000,FFFFFF
19,SEPTA,19,Torresdale Station to FTC,,3,,FFFFFF,000000
2,SEPTA,2,20-Johnston to Pulaski-Hntg Park,,3,,FFFFFF,000000
20,SEPTA,20,Philadelphia Mills to FTC,,3,,FFFFFF,000000
201,SEPTA,201,Ft Wash Office Ctr to Fort Wash Sta,,3,,FFFFFF,000000
204,SEPTA,204,Eagleview to Paoli Train Station,,3,,FFFFFF,000000
206,SEPTA,206,Commons at Great Vly to Paoli Sta,,3,,FFFFFF,000000
21,SEPTA,21,Columbus-Dock to 69th St TC,,3,,000000,FFFFFF
22,SEPTA,22,Warminster & Willow Grove to OTC,,3,,FFFFFF,000000
23,SEPTA,23,11th Market to Chestnut Hill,,3,,000000,FFFFFF
24,SEPTA,24,Southampton & Rockledge to FTC,,3,,FFFFFF,000000
25,SEPTA,25,FTC to Columbus Commons,,3,,FFFFFF,000000
26,SEPTA,26,FTC to Chelten Av Station,,3,,FFFFFF,000000
27,SEPTA,27,Broad-Carpenter to PlymouthMtgMall,,3,,FFFFFF,000000
28,SEPTA,28,Fern Rock TC to Torresdale-Cottman,,3,,FFFFFF,000000
29,SEPTA,29,Pier 70 to 33rd-Dickinson,,3,,FFFFFF,000000
3,SEPTA,3,33rd-Cecil B. Moore to FTC,,3,,000000,FFFFFF
30,SEPTA,30,Amtrak 30th St Sta to 69th St TC,,3,,FFFFFF,000000
31,SEPTA,31,City Hall to 76th-City,,3,,FFFFFF,000000
310,SEPTA,310,Horsham Breeze Red,,3,,FFFFFF,000000
311,SEPTA,311,Horsham Breeze Blue,,3,,FFFFFF,000000
312,SEPTA,312,Cornwells Heights,,3,,FFFFFF,000000
32,SEPTA,32,Broad-Carpenter to Ridge-Lyceum,,3,,FFFFFF,000000
33,SEPTA,33,Penns Landing to 23rd-Venango,,3,,000000,FFFFFF
34,SEPTA,34,Route 34,,0,,5A960A,000000
35,SEPTA,35,Manayunk Roxborough Loop,,3,,FFFFFF,000000
36,SEPTA,36,Route 36,,0,,5A960A,000000
36B,SEPTA,36B,Route 36 Bus,,0,,5A960A,000000
37,SEPTA,37,ChesterTC to Broad-Snyder,,3,,FFFFFF,000000
38,SEPTA,38,5th-Market to Wissahickon TC,,3,,FFFFFF,000000
39,SEPTA,39,Richmond-Cumberland to 33rd-Dauphin,,3,,FFFFFF,000000
4,SEPTA,4,Broad-Pattison to Fern Rock TC,,3,,FFFFFF,000000
40,SEPTA,40,2nd-Lombard to Conshohocken-Monumnt,,3,,FFFFFF,000000
406,SEPTA,406,West Phila to 67th-Elmwood,,3,,FFFFFF,000000
409,SEPTA,409,59th-Balitmore to 84th-Crane,,3,,FFFFFF,000000
411,SEPTA,411,SouthWest Phila to 46th-Ludlow,,3,,FFFFFF,000000
415,SEPTA,415,46th-Ludlow to SouthWest Phila,,3,,FFFFFF,000000
42,SEPTA,42,2nd-Spruce to Wycombe or61stPine,,3,,FFFFFF,000000
426,SEPTA,426,Torrsdl-Brdg to 10th-Lycomng,,3,,FFFFFF,000000
428,SEPTA,428,Richmnd-Vnango to 10th-Lycomng,,3,,FFFFFF,000000
43,SEPTA,43,Richmond-Cumberland to 50th-Parksde,,3,,FFFFFF,000000
433,SEPTA,433,Castr-Cottmn to 10th-Lycomng,,3,,FFFFFF,000000
